#,Team Name,Games Played,Wins,Draws,Losses,Goals For,Goals Against,Points
1,Zamet,12,11,1,0,366,288,23
2,Umag,12,10,0,2,373,305,20
3,Buzet,12,8,0,4,342,319,16
4,Zadar 1954,12,7,2,3,340,317,16
5,Rovinj,12,7,1,4,339,320,15
6,Ardiaei,12,7,0,5,334,326,14
7,Dubovac-Gaza,12,6,0,6,297,304,12
8,Split,12,5,1,6,328,358,11
9,Hrvatski dragovoljac,12,3,1,8,245,283,7
10,Kozala,12,2,1,9,289,331,5
11,BM 07,12,1,2,9,288,337,4
12,Arena-Pula,12,0,1,11,304,357,1
